Nß lote;T°tulo;Autor;Editorial;A§o;P£blico;Idioma;P†ginas;Resumen_navarra;genero_fix;IA_Tags;Geografia_Autor;Genero_Principal_IA;Subgeneros_Limpios_IA
920N;Gari eta goroldiozko;Alberdi Santesteban, Anari;Susa;2022;Adulto;Euskera;110;"Goiz jaikia zen eta bidea ere luzetxo egiten hasia zitzaion. Erreta zituen begiak, eta izan daitekeen auto-erretratuaren definizio zehatzenean, erretrobisorean, betaurreko beltzen atzean, denborak begi ertzetan egindako zartadurak zizelkatzeari jarraitzen zion. Nekatua zegoen. Nekatzen hasia beti. Garizkoak eta goroldiozkoak, bi paisaiek egiten dute bat lehen pertsonan emandako kontakizun honetan. 50 urteak bete eta aspaldi aita baino zaharrago dela jabetu den emakume bat ageri da, astearte iluntze batez, zinematik etxeranzko bidean; asteazken goizez, berriz, auto bidaia bateko denboraren eta espazioaren tolesturetan. Semaforoan bi galgo, bidearen errebueltetan ilaje kizkurdun emakume beltzaran bat, itsasoa gainezka, kontainerrak, fetuak, olibondoak, heskai artifiziala eta matematikaren poetika.";femenino;narrativa vasca, introspecci¢n, primera persona, identidad femenina, tiempo contempor†neo;Local;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
919N;Haize-Lekuak;Telleria, Amaia;Alberdania;2020;Adulto;Euskera;180;Mikelak supituki utzi beharko du atzean baserriko haurtzaroa, ama alargunak Altsasun entregatzen duen unean. Han, gerra zibilaren itzal eta ilinti bizi-bizien artean, neskame arituko da hamahiru urte apenas dituen neskatoa. Hala egin dute bere aurretik ahizpa zaharrek, hala egingo du berak ere, txandan-txandan etxeko mahaia arintzea tokatzen zaionean, eta, bide batez, akaso gerora baliagarria izango zaion ofizioan trebatzea helburu. Reparaztarren etxean ezagutuko du jende dirudunaren bizimodua, baina baita txanponaren ifrentzua ere. Ez baita giro galtzaileentzat. Menderatu beharko du etxemina, oroitzapenak bridatuz eta bizimodu berrian bidaide egokituko zaizkionei tokia eginez bizitzaren aro berrira irekitzen hasi den bihotz nerabean. Ikasiko du, haragi propioan, alferrik dela haize guztietatik babesean egoten saiatzea, noiznahi heldu daiteke-eta, auskaloko zirrikitutik, menderatu beharreko haize bolada ezezaguna. Beti erne, beti prest dagoena dela haizete bortitzen jostailu baldar izan nahi ez duenaren patua. Heziketa sentimental gogor bezain premiazkoa.;femenino;novela de formaci¢n, posguerra civil espa§ola, narrativa vasca, perspectiva femenina, clases sociales;Local;Narrativa;Novela Hist¢rica, Novela de Aprendizaje (Bildungsroman), Social/Pol°tico
918N;Izurdeen aurreko bizitza;Uribe, Kirmen;Susa;2021;Adulto;Euskera;314;Euskal kondaira zahar baten arabera, izurdeak, garai batean, pertsonak izan ziren. Izurde bilakatu ziren laminen maitale izatearren. Eta behin gorputzez aldatuta, ezin berriz lehengora itzuli. Migranteari ere gertatzen zaio halakorik herrialdez aldatzen denean. Mudatzen zaio bizitza eta ezinbestean baita atzean utzitakoarekiko lotura ere. Uri, Nora eta bien seme-alabak New Yorkera lekualdatuko dira liburu honetan. Rosika Schwimmer sufragista eta bakezalearen bizitzan oinarritutako nobela bat idatzi nahian ari da Uri: nola hazi zen zaldi eta kontzertu artean, nola lotu zen emakumeen askapen mugimendura, nola antolatu zuen Gerra Handiari aurre egin nahi zion bake-ontzia. Haren urratsak ikertu bitartean, ordea, bereak ere aterako zaizkio bidera, haurtzaroko bizipenak, faro bat arrosaz margotu zutenekoa, izebarekin konpartitutakoak. Familia ezari-ezarian hirian etxe egiten doan bitartean.;masculino;migraci¢n, autoficci¢n, literatura vasca, biograf°a, Nueva York;Local;Narrativa;Biogr†fico/Memorias, Social/Pol°tico
917N;Txernobil txiki bat etxe bakoitzean;Izagirre, Ander;Gaumin;2014;Adulto;Euskera;78;Txernobilgo istripu nuklearra gertatu zenean, Juliak 13 urte zeuzkan eta aire librean jolasean ibili zen egun osoan. Igorrek 28 urte zeuzkan, soldadua zen eta zentralera lanera korrika joateko agindu zioten. Inork ez zien azalpenik eman. Orain Juliak erreportaje bat idatzi nahi du, Txernobilen zer gertatu zen eta gaur egun ingurua nola dagoen kontatzeko.;masculino;Chern¢bil, accidente nuclear, cr¢nica, memoria hist¢rica, periodismo narrativo;Europa, Ucrania - Chern¢bil;Narrativa;Novela Hist¢rica, Biogr†fico/Memorias, Conflictos BÇlicos/Historia
916N;Los abismos;Quintana, Pilar;Alfaguara;2021;Adulto;Castellano;246;Claudia vive con sus padres en un apartamento invadido por plantas que se estiran para tocarla. Como todas las familias, la suya contiene una crisis, y solo har† falta que algo o alguien llegue a detonarla. Cada quien tiene un punto de quiebre en la infancia, y Claudia, la protagonista de esta historia, narra, desde la expectaci¢n y la mirada aguda de cuando fue una ni§a, los hechos que abrieron las grietas por donde se colaron los peores temores, aquellos que son irreversibles y empujan al borde del precipicio. Los abismos es un relato estremecedor en el que una hija asume las revelaciones de su madre y los silencios de su padre para empezar a construir su propio mundo.;femenino;narrativa contempor†nea, infancia, conflicto familiar, perspectiva infantil, realismo psicol¢gico;AmÇrica, Colombia;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
915N;Umbilical;Neuman, AndrÇs;Alfaguara;2022;Adulto;Castellano;121;Un hombre aguarda el nacimiento de su hijo. Asiste fascinado a la gestaci¢n junto a la madre, imagina a ese ser que vendr† a revolucionar su casa, su lenguaje, su pareja y su propia historia familiar. A lo largo de un a§o memorable, el hombre narra los primeros compases de una existencia nueva: la suya como padre junto a la madre y el hijo, tres personajes de una historia universal que encuentra palabras reciÇn nacidas. Umbilical es un relato l°rico cuyas b£squedas resuenan tanto en el plano °ntimo como en el colectivo. Sus reflexiones sobre la experiencia de la paternidad sit£an a la masculinidad frente al milagro de la vida y su incesante relectura del presente, en una Çpoca de redefinici¢n de los roles, aceptando as° la invitaci¢n de la poeta Anne Waldman que encabeza estas p†ginas: ÆQue los hombres detengan su alboroto / frente a la maravilla del bebÇØ. Pero es tambiÇn, y sobre todo, una declaraci¢n de amor.;masculino;paternidad, masculinidad contempor†nea, narrativa l°rica, relaciones familiares, identidad.;Europa, Espa§a;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
914N;Un hijo cualquiera;Halfon, Eduardo;Libros del Asteroide;2022;Adulto;Castellano;139;ÆEscrib° las historias que componen este libro durante los £ltimos cinco a§os, es decir, durante los primeros cinco a§os de la vida de mi hijo. Y aunque las historias de un escritor se le van cruzando como peatones o gatos en el camino, llevo cinco a§os caminando y escribiendo mientras sostengo en mi mano la mano de un hijo que entra y sale de esas historias, y que corre a esconderse en algunas de ellas, y que a veces hasta me susurra las suyas. Un hijo que, de pronto, me oblig¢ a escribir como padre.Ø En los textos reunidos en este nuevo libro de Eduardo Halfon, la paternidad?con sus vulnerabilidades y fortalezas?es a menudo el lente a travÇs del cual el autor revisita algunos de los temas predilectos de su universo literario. Halfon escribe sobre la infancia, el desarraigo, la muerte, la vocaci¢n de escritor o la b£squeda de la propia identidad con una econom°a de medios inversamente proporcional al resultado obtenido. Un libro luminoso y valiente que est† entre los m†s personales del autor, considerado ya uno de los escritores m†s relevantes de la literatura latinoamericana reciente.;masculino;autoficci¢n, paternidad, narrativa breve, identidad, literatura latinoamericana;AmÇrica, Guatemala;Narrativa;Psicol¢gico/÷ntimo, Biogr†fico/Memorias, Relatos/Cuentos
913N;Una historia rid°cula;Landero, Luis;Tusquets;2022;Adulto;Castellano;283;Marcial es un hombre exigente, con don de palabra, y orgulloso de su formaci¢n autodidacta. Un d°a se encuentra con una mujer que no solo le fascina, sino que re£ne todo aquello que le gustar°a tener en la vida: buen gusto, alta posici¢n, relaciones con gente interesante. êl, que tiene un alto concepto de s° mismo, es de hecho encargado en una empresa c†rnica. Ella, que se ha presentado como Pepita, es estudiosa del arte y pertenece a una familia adinerada. Marcial necesita contarnos su historia de amor, el despliegue de sus talentos para conquistarla, su estrategia para desbancar a los otros pretendientes y sobre todo quÇ ocurri¢ cuando fue invitado a una fiesta en casa de su amada.;masculino;narrativa contempor†nea, diferencias sociales, iron°a, primera persona, Espa§a;Europa, Espa§a - Madrid;Narrativa;Social/Pol°tico, Psicol¢gico/÷ntimo, Humor/S†tira
912N;La familia;Mesa, Sara;Anagrama;2022;Adulto;Castellano;224;Æ≠En esta familia no hay secretos!Ø, proclama al inicio de este libro Dami†n, el padre, un hombre de ideas e ideales fijos obsesionado con la rectitud y la pedagog°a. Pero esa casa sin secretos est† en realidad llena de grietas, y la opresi¢n que se respira entre sus paredes terminar† creando v°as de escape, c¢digos clandestinos, ocultaciones, fingimientos y mentiras. Formada por dos ni§as, dos ni§os, una madre y un padre, esta familia en apariencia normal, de clase trabajadora y llena de buenas intenciones, es la protagonista de una novela coral que abarca varias dÇcadas y en cuyas historias laten el deseo de libertad y la cr°tica a los pilares que tradicionalmente han sostenido, y todav°a sostienen en gran medida, la instituci¢n familiar: autoritarismo y obediencia, vergÅenza y silencio. Sara Mesa vuelve a demostrar que posee un ojo cl°nico para desnudar comportamientos humanos, detectar heridas latentes y retratar en toda su complejidad la fragilidad, las contradicciones y las flaquezas que nos conforman. Este libro es una nueva vuelta de tuerca a la construcci¢n de uno de los universos literarios m†s potentes de las letras espa§olas actuales y la confirmaci¢n de un talento que no deja de crecer.;femenino;familia, novela coral, autoritarismo, Espa§a contempor†nea, relaciones familiares;Europa, Espa§a;Narrativa;Social/Pol°tico, Psicol¢gico/÷ntimo
911N;Sentido y sensibilidad;Austen, Jane ;Almadraba;2018;Adulto;Castellano;116;"Muere el se§or Dashwood, y su esposa, la se§ora Dashwood y sus tres hijas, Elinor, Marianne y Margaret, deben abandonar el hogar familiar, ya que el patrimonio lo ha heredado su hermanastro, John Dashwood. La esposa de este, Fanny, no ve con buenos ojos a la se§ora Dashwood y a sus hijas. Ellas se mudan entonces al campo, a una casita que les ofrece Sir John Middelton. All° conocen al coronel Brandon, a la se§ora Jennings, y, en uno de sus paseos, al joven Willoughby. Elinor, por su parte, se hab°a sentido atra°da anteriormente por Edward Ferrars, el hermano de Fanny.
Sentido y sensibilidad nos cuenta, mediante los personajes citados, m†s algunos otros que iremos conociendo a lo largo de la narraci¢n, una bonita e interesante historia de relaciones humanas, las cuales, gracias a la generosidad y al amor, acaban por unir felizmente a sus protagonistas.";femenino;novela costumbrista, Inglaterra georgiana, relaciones familiares, herencia, cr°tica social;Europa, Reino Unido - Sur de Inglaterra;Narrativa;Novela Hist¢rica, Social/Pol°tico
910N;Grandes esperanzas;Dickens, Charles;Almadraba;2020;Adulto;Castellano;147;Grandes esperanzas es uno de los t°tulos m†s cÇlebres del gran autor inglÇs. Publicado originalmente en 1860, narra la historia de Pip, un joven huÇrfano y miedoso, cuyo humilde destino se ve agraciado por un benefactor inesperado que cambiar† el sino de su vida y har† de Çl un caballero. Una maravillosa novela de aprendizaje y una magistral galer°a de protagonistas que trazan un acabado retrato de Çpoca, al mismo tiempo que una honda reflexi¢n sobre las constantes de la condici¢n humana. La realidad de la vida cotidiana en Inglaterra y la fantas°a se dan la mano, mostr†ndonos un mundo extraordinariamente humano.;masculino;novela victoriana, bildungsroman, cr°tica social, Inglaterra siglo XIX, ascenso social;Europa, Reino Unido - Inglaterra/Londres;Narrativa;Novela de Aprendizaje (Bildungsroman), Cl†sicos, Social/Pol°tico
909N;Cuarteto;PuÇrtolas, Soledad;Anagrama;2021;Adulto;Castellano;206;"La princesa de un reino sufre una extra§a enfermedad; ninguno de los mÇdicos, sabios y curanderos consultados por su padre el rey da con la cura, y esta llegar† de un modo inesperado... El hombre rico de un pueblo contrata a una maestra para sus hijos y permite a otros chicos asistir a las clases; uno de ellos se queda prendado de la maestra y tiempo despuÇs tratar† de dar con ella... Una joven deja la isla en la que viv°a con su padre viudo, monta en la ciudad un sal¢n de tÇ y conoce a una clienta que desaparece misteriosamente... La esposa de un mÇdico lo abandona para irse al norte a trabajar como cient°fica; un d°a a Çl le llega la noticia de que est† muy enferma y emprende un viaje hacia ese lugar remoto para verla por £ltima vez... Cuatro relatos a la manera cl†sica con un twist moderno. Cuatro relatos que hablan del amor?no siempre consumado, a veces esquivo?, del paso del tiempo, de ausencias, de reencuentros, de secretos, de historias que pueden tener varios finales posibles... Cada uno de ellos lleva por t°tulo una locuci¢n latina?horror vacui, ceteris paribus, festina lente, noli me tangere?alrededor de cuyo significado gira la trama. Una prosa elegante, pinceladas sutiles, un clima envolvente y personajes sugestivos y matizados son algunos de los elementos con los que Soledad PuÇrtolas ha ido construyendo su ya extensa obra. Estos cuatro relatos exquisitos, profundos y emocionantes son una buena muestra de su esplÇndida madurez literaria.";femenino;narrativa breve, relatos contempor†neos, estructura cl†sica, temas existenciales, locuciones latinas;Europa, Espa§a;Narrativa;Relatos/Cuentos, Psicol¢gico/÷ntimo
908N;Imposible;Luca, Erri de;Seix Barral;2020;Adulto;Castellano;158;Dos hombres se encuentran en la monta§a en un sendero poco transitado, cuarenta a§os despuÇs de un juicio en el que uno se vest°a con el traje de acusado por pertenecer a una organizaci¢n pol°tica revolucionaria y el otro con el de delator arrepentido. S¢lo uno de los dos saldr† vivo de aquel encuentro. Erri De Luca ahonda en ese espacio-tiempo en el que acontece algo que pensamos que nunca podr°a suceder, y parte de ese marco para ponernos contra las cuerdas, haciÇndonos dudar del significado profundo de las palabras y las certezas que nos sustentan, cuestionando con osad°a nuestras nociones sobre la justicia y la responsabilidad.;masculino;narrativa contempor†nea, justicia, memoria hist¢rica, Italia, conflicto pol°tico;Europa, Italia - Monta§a;Narrativa;Novela Hist¢rica, Social/Pol°tico
907N;Intimidades;Kitamura, Katie;Sextopiso;2023;Adulto;Castellano;190;"Una novela electrizante que se pregunta hasta quÇ punto llegamos a conocer a aquellos que nos rodean.
Una joven se muda de Nueva York a La Haya para empezar a trabajar como intÇrprete en el Tribunal Penal Internacional. La plenitud que le procura su nueva vida ?una estimulante red de conocidos y amigos, un buen empleo, una incipiente historia de amor? le hace sentir que tal vez ha encontrado, como anhelaba, un lugar al que llamar hogar. Sin embargo, ese bienestar pronto comienza a resquebrajarse. Adriaan, su amante, abandona unos d°as la ciudad para reunirse con su esposa y concluir los tr†mites del divorcio, y repentinamente deja de contestar sus llamadas. A la vez, la protagonista recibe el encargo de traducir durante un juicio a un exjefe de Estado de un pa°s africano acusado de cr°menes de guerra, lo que la obliga a hacer suya la voz del criminal y a establecer con Çl una suerte de complicidad que nunca hubiera deseado. Mujer introvertida y observadora, se esfuerza por descifrar lo que est† ocurriendo a su alrededor, pero no encuentra m†s que incertidumbres. Lo que parec°a ser un camino recto se ha convertido de pronto en un laberinto.
Hipn¢tica y de una rara intensidad emocional, Intimidades, cuarta novela de Katie Kitamura, muestra el indiscutible talento de la escritora estadounidense para desnudar lo familiar y revelar sus aspectos m†s desconcertantes. Una lectura adictiva que se cuestiona hasta quÇ punto llegamos a conocer y comprender verdaderamente las motivaciones de aquellos que nos rodean y que reflexiona sobre el modo en que las intimidades, escogidas o impuestas, condicionan el curso de nuestras vidas.";femenino;novela contempor†nea, Tribunal Penal Internacional, traducci¢n e interpretaci¢n, dilemas Çticos, alienaci¢n.;Europa, Pa°ses Bajos - La Haya;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
906N;Los incomprendidos;Sim¢n, Pedro;Espasa;2022;Adulto;Castellano;302;"Javier y Celia son un matrimonio de clase media con un hijo peque§o y una hija preadolescente. êl trabaja en una editorial y ella en un hospital; Çl arregla vidas de mentira y ella arregla vidas de verdad. Tratan de prosperar, se mudan a un barrio mejor, la cotidianidad. Podr°a ser la historia de muchos. Hasta que tiene lugar una excursi¢n a Pirineos que lo cambia absolutamente todo. Esta es la historia de un viaje al abismo que habla de otros muchos viajes. El viaje de la infancia a la convulsa adolescencia. El que va de la algarab°a infantil al silencio m†s sepulcral. El de los padres que caminan detr†s con su culpa y llegan tarde. El de los abuelos que fueron delante y a los que nadie escucha. El que hace alguien para salvar una vida. TambiÇn es la historia de ese otro viaje al que todos tenemos miedo: el que habla de nuestro pasado m†s oscuro y secreto. Los incomprendidos es una novela sobre la soledad familiar, la incomunicaci¢n entre padres e hijos, el horror de decir, pero tambiÇn, y desde la primera p†gina, sobre la esperanza.";masculino;narrativa contempor†nea, relaciones familiares, incomunicaci¢n generacional, realismo social, Espa§a actual;Europa, Espa§a;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico, Novela de Aprendizaje (Bildungsroman)
905N;Madres e hijos;Kallifatides, Theodor;Galaxia Gutenberg;2020;Adulto;Castellano;173;A los sesenta y ocho a§os, Theodor Kallifatides, exiliado en Suecia desde hace m†s de cuatro dÇcadas, visita a su madre de noventa y dos, que sigue residiendo en Atenas. Ambos saben que puede ser uno de sus £ltimos encuentros. Durante la semana que pasan juntos, recuerdan lo que ha sido lo m†s importante en sus vidas con una presencia decisiva del padre, de quien Theodor est† leyendo el recuento escrito que este le ha dejado de lo que ha sido su dif°cil existencia, desde sus or°genes como exiliado griego en Turqu°a, pasando por sus meses en una prisi¢n de los nazis y su pasi¢n por el oficio de maestro. Se desvelan as° los or°genes de una familia que atraviesa el siglo XX. Pero el libro es sobre todo un maravilloso homenaje al amor de una madre, a la que Kallifatides sabe encarnar en estas p†ginas de forma inolvidable, a la vez que logra transmitir una verdad universal sobre la importancia de esa figura en nuestras vidas.;masculino;autobiograf°a, exilio, memoria familiar, siglo XX, Grecia;Europa, Grecia - Atenas;No Ficci¢n;Biogr†fico/Memorias, Conflictos BÇlicos/Historia
904N;Las lealtades;Vigan, Delphine de;Anagrama;2019;Adulto;Castellano;200;"Una novela desgarradora sobre un ni§o que se evade bebiendo y unos adultos que tratan de encontrar un sentido a sus vidas. En el centro de esta novela hay un ni§o de doce a§os: ThÇo, hijo de padres separados. El progenitor, sumido en una depresi¢n, apenas sale de su ca¢tico y degradado apartamento, y la madre vive consumida por un odio sin fisuras hacia su ex, que la abandon¢ por otra mujer. En medio de esa guerra, ThÇo encontrar† en el alcohol una v°a de escape. A su alrededor se mueven otros tres personajes: HÇläne, la profesora que cree detectar que el ni§o sufre maltrato a partir del infierno que vivi¢ en su propia infancia; Mathis, el amigo de ThÇo, con el que se inicia en la bebida, y CÇcile, la madre de Mathis, cuyo tranquilo mundo se tambalea despuÇs de descubrir algo...";femenino;narrativa contempor†nea, infancia en riesgo, relaciones familiares, alcoholismo juvenil, Francia;Europa, Francia;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
903N;Dos;NÇmirovsky, Iräne;Salamandra;2023;Adulto;Castellano;283;Una historia implacable sobre el frenes° de la pasi¢n y el cruel desencanto de la juventud, ambientada en el Par°s de entreguerras. Cuando conoce a Antoine Carmontel, que acaba de volver del frente de batalla, Marianne Segre tiene veinte a§os y s¢lo piensa en divertirse. Hija de un conocido pintor y una rica heredera, se encari§a del apuesto joven y pronto se convierten en amantes, aunque su amor no es rec°proco. Cuando contraen matrimonio, Antoine invierte su herencia en una f†brica de papel, a la que consagra sus esfuerzos, mientras se hace amante de la hermana peque§a de Marianne. Anatom°a l£cida e ir¢nica del matrimonio y la familia, llena de agudas reflexiones sobre la amistad, la soledad, el dolor o la muerte, Dos es tambien una historia sobre las ilusiones perdidas de unos j¢venes que se enfrentan a un presente lleno de oscuros presagios.;femenino;narrativa francesa, entreguerras, relaciones familiares, realismo psicol¢gico, Par°s;Europa, Francia - Par°s;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico, Novela Hist¢rica
902N;La memoria del alambre;Blasco, B†rbara;Tusquets;2022;Adulto;Castellano;187;Dos chicas adolescentes viven al l°mite en la Valencia de los £ltimos a§os ochenta, justo antes de que la m£sica m†kina y las drogas sintÇticas arrasen con todo. ®QuÇ sucede cuando la madre de la que fue tu mejor amiga reaparece al cabo de veinticinco a§os para preguntarte quÇ llevaba su hija en un bolsillo de la chaqueta el d°a que la atropell¢ un tren? Es lo que le ocurre a la narradora de esta profunda y trepidante historia. Y a partir de ese enigm†tico y doloroso primer email, empieza a hurgar en la memoria para recuperar a la adolescente que fue, a la pareja de amigas que formaba junto a Carla, dos j¢venes intrÇpidas que quer°an vivir muy r†pido. Recuerda entonces el liceo en el que estudiaban, y sus incursiones en los billares y las discotecas de una Valencia de finales de los a§os ochenta. Una Çpoca en que la m£sica todav°a importaba, y los paisajes sonoros eran el m†s potente conductor de emociones, el £ltimo h†bitat de la adolescencia. Al hilo de la conversaci¢n con la madre de su amiga, la narradora reconstruye su propia memoria hasta llegar a la ruta del bakalao, donde la muerte de la melod°a coincide con la de la propia inocencia.;femenino;narrativa contempor†nea, adolescencia, memoria, Valencia a§os 80, ruta del bakalao;Europa, Espa§a - Valencia;Narrativa;Psicol¢gico/÷ntimo, Novela de Aprendizaje (Bildungsroman), Social/Pol°tico
901N;Ay, William;Strout, Elizabeth;Alfaguara;2022;Adulto;Castellano;213;Inesperadamente, Lucy Barton se convierte en confidente y apoyo de William, su exmarido, el hombre con el que ha tenido dos hijas ya adultas, pero que ahora es casi un desconocido presa de terrores nocturnos y empecinado en desvelar el secreto de su madre. Mientras su nuevo matrimonio tambalea, William quiere que Lucy lo acompa§e en un viaje del que no volver† a ser el mismo. ®Cu†ntos sentimientos ?celos, piedad, temor, ternura, decepci¢n, extra§eza? caben en un matrimonio, incluso cuando ha terminado ?si tal cosa es posible?? Y en el centro de esta historia, la voz indomable de Lucy Barton, su reflexi¢n profunda y perenne sobre nuestra propia existencia: ÆAs° es como funciona la vida. Todo lo que no sabemos hasta que ya es demasiado tardeØ.;femenino;narrativa contempor†nea, relaciones familiares, Estados Unidos, introspecci¢n, realismo literario;AmÇrica, Estados Unidos;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
900N;La gran serpiente;Lemaitre, Pierre;Salamandra;2022;Adulto;Castellano;317;Siempre hay que desconfiar de las se§oras de mediana edad bien vestidas, con aspecto de jubiladas y acompa§adas de un d†lmata espantadizo, como Mathilde Perrin, una viuda de sesenta y tres a§os algo entrada en carnes bajo cuya apariencia anodina se esconde una pistolera a sueldo de gatillo f†cil y nervios de acero. Experimentada y diligente en el manejo de armas de gran calibre, capaz de dar esquinazo a la polic°a y agotar a sus perseguidores, esta veterana hero°na de la Resistencia ejecuta sin piedad los encargos de un misterioso comandante cuando no est† cuidando su jard°n de las afueras de Par°s. Sin embargo, los frecuentes descuidos y el mal car†cter de la anta§o perfeccionista Mathilde, que la vuelven cada vez m†s incontrolable y perturbadora, empiezan a preocupar a las altas esferas, dispuestas a deshacerse de ella antes de que sea demasiado tarde. Brillante combinaci¢n de una trama ingeniosa y precisa con un ritmo trepidante, La gran serpiente es la primera novela negra escrita por Pierre Lemaitre. Un tablero de asesinatos encadenados cargado de di†logos mordaces, escenas impactantes y grandes dosis de humor c†ustico y descarnado.;masculino;novela negra, asesina a sueldo, Par°s, humor negro, thriller;Europa, Francia - Afueras de Par°s;Narrativa;Novela Negra/Misterio, Humor/S†tira
898N;Sobre los huesos de los muertos;Tokarczuk, Olga;Siruela;2016;Adulto;Castellano;238;"Janina Duszejko es una ingeniera de caminos retirada que ense§a inglÇs en la escuela rural de Kotlina K;odzka, una regi¢n monta§osa del suroeste de Polonia. Cuando la rutina del pueblo se ve sacudida por una serie de asesinatos que tienen como v°ctimas a varios cazadores furtivos, Janina, apasionada de la astrolog°a, defensora a ultranza de los animales y obsesionada por la obra del poeta William Blake, intentar† resolver por su cuenta los misteriosos cr°menes.Bajo la forma de una novela policiaca y con un original subtexto ecologista, Tokarczuk retrata soberbiamente la sociedad local, cuestionando sin ambages tanto la falta de respeto por la naturaleza como el radicalismo ambientalista, en una de las obras m†s poderosas y originales de la literatura europea actual.";femenino;novela policiaca, ecologismo, Polonia rural, cr°tica social, realismo contempor†neo;Europa, Polonia - Kotlina K?odzka;Narrativa;Novela Negra/Misterio, Social/Pol°tico
899N;Llego con tres heridas;Gil, Violeta;Caballo de Troya;2022;Adulto;Castellano;191;"ÆQuiz† todo esto sea una despedida amistosa de mi padre, una forma de dejarle para poder seguir. Seguro que Çl lo comprender°a. Es la £nica manera de hacer la vida. JosÇ, espero que lo entiendas. Tengo que despedirme de ti. Tengo que reconocer que de alguna manera me he protegido todos estos a§os a travÇs de esa figura que es y no eres t£. De esa idea de lo que deb°a ser yo como hija tuya. Y ahora me toca avanzar. Me toca seguir sin ti. Como cuando en la pel°cula se ve al fantasma despedirse, como cuando el esp°ritu sale del cuerpo, como cuando la sombra de Peter Pan se le despega de los talones. No pasa nada. Vamos a estar bien. Ya ver†sØ. Este libro nace de tres heridas, como en el poema de Miguel Hern†ndez: la de la vida, la de la muerte, la del amor; Violeta Gil parte de ellas para dar forma a una historia °ntima y emocionante. Con esta novela asistimos a un emocionante ejercicio de creaci¢n en el que la autora se transparenta de manera valiente, poniendo voz, cuerpo y alma al servicio de su destino, retomando caminos olvidados, conversaciones con familiares, documentos reales o, a falta de ellos, inventados. Pocas veces los libros se sienten tan necesarios y se conf°an de forma tan admirable a su propia raz¢n de ser.";femenino;autoficci¢n, duelo, memoria familiar, narrativa contempor†nea, identidad.;Europa, Espa§a;Narrativa;Psicol¢gico/÷ntimo, Biogr†fico/Memorias
897N;La isla del tesoro;Stevenson, Robert Louis;Almadraba;2009;Infantil - 10 a§os;Castellano;197;La isla del tesoro narra las andanzas de un grupo de aventureros que parten en busca de un tesoro enterrado en una isla por un antiguo pirata. La novela, contada en primera persona por el m†s joven de los marineros, Jim Hawkins, ha entusiasmado a millones de lectores desde que se public¢ en 1883. Todos los ingredientes de la narraci¢n de aventuras aparecen en ella: una expedici¢n a tierras lejanas y desconocidas, peligros, piratas, acci¢n...;masculino;novela de aventuras, pirater°a, siglo XVIII, narrativa juvenil, b£squeda de tesoros;Europa, Inglaterra - Suroeste / Caribe - Isla ficticia;Infantil;Aventuras
896N;El lazarillo de Tormes;Ballaz, Jes£s;Almadraba;2006;Infantil - 10 a§os;Castellano;93;El Lazarillo de Tormes es la obra cumbre de la novela picaresca espa§ola. Escrito en forma de autobiograf°a, su autor no lo firm¢. Una decisi¢n prudente, a juzgar por las cr°ticas que vierte en Çl contra diversos estamentos sociales.;masculino;novela picaresca, adaptaci¢n juvenil, cr°tica social, Espa§a siglo XVI;Europa, Espa§a - Salamanca/Toledo;Infantil;Novela Hist¢rica, Social/Pol°tico, Novela de Aprendizaje (Bildungsroman)
895N;Ana Frank, su vida;Hoefnagel, Marian;La mar de f†cil;2010;Adulto;Castellano;132;Ana Frank (1929-1945) es, quiz†s, la ni§a m†s conocida del mundo, gracias a su diario. Ana Frank era jud°a. Al estallar la Segunda Guerra Mundial, ella y su familia se tuvieron que refugiar en µmsterdam. Durante m†s de dos a§os vivieron escondidos en la casa de atr†s, en el edificio donde su padre ten°a su negocio.;femenino;biograf°a juvenil, Segunda Guerra Mundial, juda°smo, µmsterdam, ocultamiento;Europa, Pa°ses Bajos - µmsterdam;No Ficci¢n;Biogr†fico/Memorias, Conflictos BÇlicos/Historia
894N;iUgh!: Un relato del Pleistoceno;Yockteng, Rafael;Ediciones EkarÇ;2022;Infantil - 10 a§os;Castellano;56;Una tribu n¢mada hace un peligroso viaje para llegar a las cuevas que ser†n su refugio durante el invierno. La menor de las mujeres, siempre atenta a las se§ales de la naturaleza, a los depredadores y a lo que hace su clan, ve en la superficie de las rocas la posibilidad ?y el deseo? de expresar lo que ha visto. Y es all°, en el coraz¢n de una caverna, donde nace la primera historia.;masculino;Prehistoria, arte rupestre, literatura infantil, tribus n¢madas, narrativa visual.;Eurasia, Prehistoria - Regi¢n no especificada;Infantil;Aventuras, Tradici¢n Oral/Leyendas
